               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11825,            0.034759,            0.030993,           0.0024554,             0.05698,           0.0016228,          0.00025524,             0.10801,            0.025924,            0.034511,              0.0946,              0.0006,              0.0006
                   1,              0.1094,            0.034801,            0.028106,           0.0021324,            0.076211,           0.0018711,          0.00078824,            0.096034,            0.023456,            0.031151,            0.088297,           0.0012974,           0.0012974
                   2,            0.094008,            0.034353,            0.022258,           0.0038086,             0.16952,           0.0037341,           0.0011263,             0.08478,            0.021951,            0.028664,            0.081992,           0.0019921,           0.0019921
                   3,            0.086057,            0.035772,            0.019384,           0.0044812,             0.30128,           0.0062303,           0.0019089,            0.079172,             0.02024,            0.025852,            0.075684,            0.002684,            0.002684
                   4,            0.076069,            0.037748,            0.017211,             0.13191,             0.24288,             0.12809,            0.037439,             0.07296,            0.018086,            0.020818,            0.069373,           0.0033731,           0.0033731
                   5,            0.072544,            0.034928,            0.016406,             0.26966,             0.37393,             0.18732,            0.064993,            0.076667,            0.016083,            0.016667,            0.063059,           0.0040594,           0.0040594
                   6,            0.069798,            0.030677,             0.01224,             0.40913,             0.56481,             0.41141,             0.14625,            0.064973,            0.017638,            0.011873,            0.056743,            0.004743,            0.004743
                   7,            0.067319,            0.028185,            0.011173,             0.40139,              0.4886,             0.40123,               0.163,            0.070786,            0.018302,           0.0092693,            0.050424,           0.0054238,           0.0054238
                   8,            0.063739,             0.02537,           0.0091926,             0.23765,             0.53063,             0.25857,            0.096654,            0.076587,            0.017234,            0.007492,            0.044102,           0.0061018,           0.0061018
                   9,            0.071484,            0.027799,           0.0077793,             0.33083,             0.60399,             0.33544,             0.14114,            0.067548,            0.015046,           0.0066567,            0.037777,            0.006777,            0.006777
                  10,            0.066958,            0.025428,           0.0083443,             0.36722,             0.56624,             0.41449,              0.1935,            0.065158,            0.012529,            0.005646,             0.03145,           0.0074495,           0.0074495
                  11,            0.068979,            0.023366,           0.0065365,             0.34241,              0.5189,             0.44241,             0.23219,            0.065877,            0.010754,           0.0061751,            0.025119,           0.0081192,           0.0081192
                  12,            0.068282,             0.02529,            0.006547,             0.30522,             0.55308,             0.37393,              0.1753,             0.06817,              0.0104,           0.0053271,            0.018786,           0.0087862,           0.0087862
                  13,            0.066161,            0.027382,           0.0063617,             0.37638,             0.65883,             0.43646,             0.16565,            0.069823,           0.0097509,           0.0052881,             0.01245,           0.0094503,           0.0094503
                  14,            0.070686,            0.022494,           0.0076475,             0.34866,             0.50855,             0.36284,             0.17398,            0.081105,           0.0093265,           0.0046173,           0.0097228,           0.0097228,           0.0097228
                  15,            0.076122,            0.022634,            0.006343,             0.31876,             0.70751,              0.4577,             0.17747,            0.068461,            0.009838,           0.0052402,           0.0097228,           0.0097228,           0.0097228
                  16,            0.068408,            0.023019,           0.0056109,             0.37427,             0.62108,             0.48762,             0.22728,            0.070044,           0.0097043,           0.0049713,            0.009703,            0.009703,            0.009703
                  17,            0.070276,            0.022645,           0.0057024,             0.22337,             0.66026,              0.3495,             0.12989,            0.069507,            0.010795,           0.0046224,           0.0096832,           0.0096832,           0.0096832
                  18,            0.065256,            0.025171,           0.0054757,             0.71821,             0.63818,             0.69773,             0.34861,              0.0583,           0.0097132,           0.0039879,           0.0096634,           0.0096634,           0.0096634
                  19,            0.058025,            0.020505,             0.00603,                0.56,             0.77279,              0.6828,             0.34467,            0.060234,           0.0085729,            0.003583,           0.0096436,           0.0096436,           0.0096436
                  20,            0.062304,            0.022016,            0.004232,              0.4877,             0.66168,             0.59246,             0.30411,            0.071857,            0.008568,            0.003182,           0.0096238,           0.0096238,           0.0096238
                  21,            0.061498,            0.021371,           0.0042047,             0.46405,             0.70976,             0.58082,             0.25099,            0.067549,           0.0085615,           0.0031026,            0.009604,            0.009604,            0.009604
